id,name,description,retailer,brand,category,price,url
R001,iPhone 15 Pro Max 256GB Titanium - Amazon,Apple iPhone 15 Pro Max 256GB natural titanium - Fast Prime Delivery,Amazon,Apple,Electronics,1149.99,https://amazon.com/dp/B0C1234567
R002,iPhone 15 Pro 128GB Blue - Best Buy,Apple iPhone 15 Pro 128GB blue titanium - In Stock,Best Buy,Apple,Electronics,999.99,https://bestbuy.com/site/123
R003,Samsung S24 Ultra 512GB - Walmart,Samsung Galaxy S24 Ultra 512GB titanium gray - Free Shipping,Walmart,Samsung,Electronics,1249.99,https://walmart.com/ip/456
R004,Samsung Galaxy S24 Ultra 512GB - eBay,Samsung S24 Ultra 512GB with S Pen - Brand New,eBay,Samsung,Electronics,1299.99,https://ebay.com/itm/789
R005,Sony WH-1000XM5 Headphones - Target,Sony WH-1000XM5 wireless noise cancelling - Best Seller,Target,Sony,Audio,379.99,https://target.com/p/111
R006,Sony XM5 Wireless Headphones - Amazon,Sony premium noise cancelling headphones - 30hr Battery,Amazon,Sony,Audio,389.99,https://amazon.com/dp/B0C222222
R007,Nike Air Max 270 Size 10 - Foot Locker,Nike Air Max 270 size 10 blue running shoes - Sale,Foot Locker,Nike,Footwear,145.00,https://footlocker.com/product/333
R008,Nike Air Max 270 Mens - Amazon,Nike Air Max 270 mens athletic shoes - Free Returns,Amazon,Nike,Footwear,155.00,https://amazon.com/dp/B0C444444
R009,Dyson V15 Detect Vacuum - Best Buy,Dyson V15 Detect cordless vacuum - Laser Dust Detection,Best Buy,Dyson,Home,699.00,https://bestbuy.com/site/555
R010,iPhone 14 Pro Max 256GB - Walmart,Apple iPhone 14 Pro Max 256GB - Certified Refurbished,Walmart,Apple,Electronics,899.00,https://walmart.com/ip/666
R011,MacBook Pro 14" M3 512GB - Amazon,Apple MacBook Pro 14 inch M3 512GB SSD - 2024 Model,Amazon,Apple,Electronics,1899.00,https://amazon.com/dp/B0C777777
R012,Bose QC45 Headphones - Sony Store,Bose QuietComfort 45 noise cancelling headphones,Sony Store,Bose,Audio,299.00,https://sonystore.com/product/888
